symbol,name
ESQ,Esquire Financial Holdings Inc. Common Stock
ESS,Essex Property Trust Inc. Common Stock
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest
ETD,Ethan Allen Interiors Inc. Common Stock
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest
ETN,Eaton Corporation PLC Ordinary Shares
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock
ETR,Entergy Corporation Common Stock
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest
EVC,Entravision Communications Corporation Common Stock
EVF,Eaton Vance Senior Income Trust Common Stock
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest
EVH,Evolent Health Inc Class A Common Stock
EVI,EVI Industries Inc.  Common Stock
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value
EVN,Eaton Vance Municipal Income Trust Common Stock
EVO,Evotec SE American Depositary Shares
EVR,Evercore Inc. Class A Common Stock
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest
EXC,Exelon Corporation Common Stock
EXE,Expand Energy Corporation Common Stock
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest
EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
EXP,Eagle Materials Inc Common Stock
EXR,Extra Space Storage Inc Common Stock
EYE,National Vision Holdings Inc. Common Stock
FAF,First American Corporation (New) Common Stock
FAT,FAT Brands Inc. Class A Common Stock
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock
FBK,FB Financial Corporation Common Stock
FBP,First BanCorp. New Common Stock
FCF,First Commonwealth Financial Corporation Common Stock
FCN,FTI Consulting Inc. Common Stock
FCO,abrdn Global Income Fund Inc. Common Stock
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest
FCX,Freeport-McMoRan Inc. Common Stock
FDP,Fresh Del Monte Produce Inc. Common Stock
FDS,FactSet Research Systems Inc. Common Stock
FDX,FedEx Corporation Common Stock
FER,Ferrovial SE Ordinary Shares
FET,Forum Energy Technologies Inc. Common Stock
FFA,First Trust Enhanced Equity Income Fund
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated
FGB,First Trust Specialty Finance and Financial Opportunities Fund
FGF,Fundamental Global Inc. Common Stock 
FGI,FGI Industries Ltd. Ordinary Shares
FGL,Founder Group Limited Ordinary Shares
FGN,F&G Annuities & Life Inc. 7.950% Senior Notes due 2053
FHB,First Hawaiian Inc. Common Stock
FHI,Federated Hermes Inc. Common Stock
FHN,First Horizon Corporation Common Stock
FIP,FTAI Infrastructure Inc. Common Stock 
FIS,Fidelity National Information Services Inc. Common Stock
FIX,Comfort Systems USA Inc. Common Stock
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock
FLD,Fold Holdings Inc. Class A Common Stock
FLG,Flagstar Financial Inc. Common Stock
FLL,Full House Resorts Inc. Common Stock
FLO,Flowers Foods Inc. Common Stock
FLR,Fluor Corporation Common Stock
FLS,Flowserve Corporation Common Stock
FLX,BingEx Limited American Depositary Shares
FMC,FMC Corporation Common Stock
FMN,Federated Hermes Premier Municipal Income Fund
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share)
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest
FNB,F.N.B. Corporation Common Stock
FND,Floor & Decor Holdings Inc. Common Stock
FNF,FNF Group of Fidelity National Financial Inc. Common Stock
FNV,Franco-Nevada Corporation
FOA,Finance of America Companies Inc. Class A Common Stock
FOF,Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock
FOR,Forestar Group Inc Common Stock 
FOX,Fox Corporation Class B Common Stock
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest
FPH,Five Point Holdings LLC Class A Common Shares
FPI,Farmland Partners Inc. Common Stock
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock
FRD,Friedman Industries Inc. Common Stock
FRO,Frontline Plc Ordinary Shares
FRT,Federal Realty Investment Trust Common Stock
FSI,Flexible Solutions International Inc. Common Stock (CDA)
FSK,FS KKR Capital Corp. Common Stock
FSM,Fortuna Mining Corp. Common Shares
FSP,Franklin Street Properties Corp. Common Stock
FSS,Federal Signal Corporation Common Stock
FSV,FirstService Corporation Common Shares
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest
FTI,TechnipFMC plc Ordinary Share
FTK,Flotek Industries Inc. Common Stock
FTS,Fortis Inc. Common Shares
FTV,Fortive Corporation Common Stock 
FUL,H. B. Fuller Company Common Stock
FUN,Six Flags Entertainment Corporation Common Stock New
FVN,Future Vision II Acquisition Corporation Ordinary shares
FVR,FrontView REIT Inc. Common Stock
GAB,Gabelli Equity Trust Inc. (The) Common Stock
GAM,General American Investors Inc. Common Stock
GAN,GAN Limited Ordinary Shares
GAP,Gap Inc. (The) Common Stock
GAU,Galiano Gold Inc.
GBR,New Concept Energy Inc Common Stock
GBX,Greenbrier Companies Inc. (The) Common Stock
GCI,Gannett Co. Inc. Common Stock
GCL,GCL Global Holdings Ltd Ordinary Shares
GCO,Genesco Inc. Common Stock
GCT,GigaCloud Technology Inc Class A Ordinary Shares
GCV,Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock
GDC,GD Culture Group Limited Common Stock
GDL,GDL Fund The Common Shares of Beneficial Interest
GDO,Western Asset Global Corporate Opportunity Fund Inc. Common Stock
GDS,GDS Holdings Limited ADS
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest
GEF,Greif Inc. Class A Common Stock
GEG,Great Elm Group Inc. Common Stock
GEL,Genesis Energy L.P. Common Units
GEN,Gen Digital Inc. Common Stock
GEO,Geo Group Inc (The) REIT
GES,Guess? Inc. Common Stock
GEV,GE Vernova Inc. Common Stock
GFF,Griffon Corporation Common Stock
GFI,Gold Fields Limited American Depositary Shares
GFL,GFL Environmental Inc. Subordinate voting shares no par value
GFR,Greenfire Resources Ltd. Common Shares
GFS,GlobalFoundries Inc. Ordinary Shares
GGB,Gerdau S.A. Common Stock
GGG,Graco Inc. Common Stock
GGN,GAMCO Global Gold Natural Resources & Income Trust
GGR,Gogoro Inc. Ordinary Shares
GGT,Gabelli Multi-Media Trust Inc. (The) Common Stock
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest
GHC,Graham Holdings Company Common Stock
GHG,GreenTree Hospitality Group Ltd. American depositary shares each representing one Class A ordinary share
GHI,Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests
GHM,Graham Corporation Common Stock
GHY,PGIM Global High Yield Fund Inc.
GIB,CGI Inc. Common Stock
GIC,Global Industrial Company Common Stock
GIG,GigCapital7 Corp. Class A Ordinary Share
GIL,Gildan Activewear Inc. Class A Sub. Vot. Common Stock
GIS,General Mills Inc. Common Stock
GJH,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1
GJO,Synthetic Fixed-Income Securities Inc. on behalf of STRATS(SM) Trust for Wal-Mart Stores Inc. Securities Series 2004-5
GJP,Synthetic Fixed-Income Securities Inc. on behalf of STRATS (SM) Trust for Dominion Resources Inc. Securities Series 2005-6 Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates
GJR,Synthetic Fixed-Income Securities Inc. STRATS Trust for Procter&Gamble Securities Series 2006-1
GJS,Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities Series 2006-2
GJT,Synthetic Fixed-Income Securities Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates Series 2006-3
GLE,Global Engine Group Holding Limited Class A Ordinary Shares
GLO,Clough Global Opportunities Fund Common Stock
GLP,Global Partners LP Common Units representing Limited Partner Interests
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest
GLW,Corning Incorporated Common Stock
GME,GameStop Corporation Common Stock
GMM,Global Mofy AI Limited Class A Ordinary Shares
GMS,GMS Inc. Common Stock
GNE,Genie Energy Ltd. Class B Common Stock Stock
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands)
GNL,Global Net Lease Inc. Common Stock
GNS,Genius Group Limited Ordinary Shares
GNT,GAMCO Natural Resources Gold & Income Trust
GNW,Genworth Financial Inc Common Stock
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest
GPC,Genuine Parts Company Common Stock
GPI,Group 1 Automotive Inc. Common Stock
GPK,Graphic Packaging Holding Company
GPN,Global Payments Inc. Common Stock
GRC,Gorman-Rupp Company (The) Common Stock
GRF,Eagle Capital Growth Fund Inc. Common Stock
GRI,GRI Bio Inc. Common Stock
GRO,Brazil Potash Corp. Common Shares
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares)
GSL,Global Ship Lease Inc New Class A Common Shares
GSM,Ferroglobe PLC Ordinary Shares
GTE,Gran Tierra Energy Inc. Common Stock
GTI,Graphjet Technology Class A Ordinary Shares
GTM,ZoomInfo Technologies Inc Common Stock
GTN,Gray Media Inc. Common Stock
GTX,Garrett Motion Inc. Common Stock
GTY,Getty Realty Corporation Common Stock
GUG,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest
GUT,Gabelli Utility Trust (The) Common Stock
GVA,Granite Construction Incorporated Common Stock
GVH,Globavend Holdings Limited Ordinary Shares
GWH,ESS Tech Inc. Common Stock
GWW,W.W. Grainger Inc. Common Stock
GXO,GXO Logistics Inc. Common Stock 
HAE,Haemonetics Corporation Common Stock
HAL,Halliburton Company Common Stock
HAO,Haoxi Health Technology Limited Class A Ordinary Shares
HAS,Hasbro Inc. Common Stock
HBB,Hamilton Beach Brands Holding Company Class A Common Stock 
HBI,Hanesbrands Inc. Common Stock
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada)
HBT,HBT Financial Inc. Common Stock
HCA,HCA Healthcare Inc. Common Stock
HCC,Warrior Met Coal Inc. Common Stock
HCI,HCI Group Inc. Common Stock
HCM,HUTCHMED (China) Limited American Depositary Shares
HDB,HDFC Bank Limited Common Stock
HDL,SUPER HI INTERNATIONAL HOLDING LTD. American Depositary Shares
HEI,Heico Corporation Common Stock
HEQ,John Hancock Diversified Income Fund Common Shares of Beneficial Interest
HES,Hess Corporation Common Stock
HGV,Hilton Grand Vacations Inc. Common Stock 
HHH,Howard Hughes Holdings Inc. Common Stock
HHS,Harte Hanks Inc. Common Stock
HIG,The Hartford Insurance Group Inc. Common Stock
HII,Huntington Ingalls Industries Inc. Common Stock
HIO,Western Asset High Income Opportunity Fund Inc. Common Stock
HIT,Health In Tech Inc. Class A Common Stock
HIW,Highwoods Properties Inc. Common Stock
HIX,Western Asset High Income Fund II Inc. Common Stock
HKD,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares)
HLF,Herbalife Ltd. Common Shares
HLI,Houlihan Lokey Inc. Class A Common Stock
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares)
HLP,Hongli Group Inc. Ordinary Shares
HLT,Hilton Worldwide Holdings Inc. Common Stock 
HLX,Helix Energy Solutions Group Inc. Common Stock
HMC,Honda Motor Company Ltd. Common Stock
HMN,Horace Mann Educators Corporation Common Stock
HMR,Heidmar Maritime Holdings Corp. Common Stock
HMY,Harmony Gold Mining Company Limited
HNI,HNI Corporation Common Stock
HNW,Pioneer Diversified High Income Fund Inc.
HOG,Harley-Davidson Inc. Common Stock
HON,Honeywell International Inc. Common Stock
HOV,Hovnanian Enterprises Inc. Class A Common Stock
HPE,Hewlett Packard Enterprise Company Common Stock
HPF,John Hancock Pfd Income Fund II Pfd Income Fund II
HPI,John Hancock Preferred Income Fund Common Shares of Beneficial Interest
HPK,HighPeak Energy Inc. Common Stock
HPP,Hudson Pacific Properties Inc. Common Stock
HPQ,HP Inc. Common Stock
HPS,John Hancock Preferred Income Fund III Preferred Income Fund III
HQH,abrdn Healthcare Investors Shares of Beneficial Interest
HQI,HireQuest Inc. Common Stock (DE)
HQL,abrdn Life Sciences Investors Shares of Beneficial Interest
HQY,HealthEquity Inc. Common Stock
HRB,H&R Block Inc. Common Stock
HRI,Herc Holdings Inc. Common Stock 
HRL,Hormel Foods Corporation Common Stock
HST,Host Hotels & Resorts Inc. Common Stock
HSY,The Hershey Company Common Stock
HTB,HomeTrust Bancshares Inc. Common Stock
HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
HTH,Hilltop Holdings Inc.
HTO,H2O America Common Stock
HTZ,Hertz Global Holdings Inc Common Stock
HUM,Humana Inc. Common Stock
HUN,Huntsman Corporation Common Stock
HUT,Hut 8 Corp. Common Stock
HVT,Haverty Furniture Companies Inc. Common Stock
HWC,Hancock Whitney Corporation Common Stock
HWH,HWH International Inc. Common Stock
HWM,Howmet Aerospace Inc. Common Stock
HXL,Hexcel Corporation Common Stock
HYI,Western Asset High Yield Defined Opportunity Fund Inc. Common Stock
HYT,Blackrock Corporate High Yield Fund Inc. Common Stock
HZO,MarineMax Inc.  (FL) Common Stock
IAC,IAC Inc. Common Stock
IAE,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest
IAF,abrdn Australia Equity Fund Inc. Common Stock
IAG,Iamgold Corporation Ordinary Shares
IAS,Integral Ad Science Holding Corp. Common Stock
IBG,Innovation Beverage Group Limited Ordinary Shares
IBM,International Business Machines Corporation Common Stock
IBN,ICICI Bank Limited Common Stock
IBO,Impact BioMedical Inc. Common Stock
IBP,Installed Building Products Inc. Common Stock
ICE,Intercontinental Exchange Inc. Common Stock
ICG,Intchains Group Limited American Depositary Shares
ICL,ICL Group Ltd. Ordinary Shares
ICU,SeaStar Medical Holding Corporation Common Stock
IDA,IDACORP Inc. Common Stock
IDE,Voya Infrastructure Industrials and Materials Fund Common Shares of Beneficial Interest
IDN,Intellicheck Inc. Common Stock
IDR,Idaho Strategic Resources Inc. Common Stock
IDT,IDT Corporation Class B Common Stock
IEP,Icahn Enterprises L.P. Common Stock
IEX,IDEX Corporation Common Stock
IFF,International Flavors & Fragrances Inc. Common Stock
IFN,India Fund Inc. (The) Common Stock
IFS,Intercorp Financial Services Inc. Common Shares
IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest
IGC,IGC Pharma Inc. Common Stock
IGD,Voya Global Equity Dividend and Premium Opportunity Fund
IGI,Western Asset Investment Grade Opportunity Trust Inc. Common Stock
IGR,CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest
IGT,International Game Technology Ordinary Shares
IHD,Voya Emerging Markets High Income Dividend Equity Fund Common Shares
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share)
IHS,IHS Holding Limited Ordinary Shares
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest
IIF,Morgan Stanley India Investment Fund Inc. Common Stock
III,Information Services Group Inc. Common Stock
IIM,Invesco Value Municipal Income Trust Common Stock
IKT,Inhibikase Therapeutics Inc. Common Stock
IMG,CIMG Inc. Common Stock
IMO,Imperial Oil Limited Common Stock
ING,ING Group N.V. Common Stock
INM,InMed Pharmaceuticals Inc. Common Shares
INN,Summit Hotel Properties Inc. Common Stock
INO,Inovio Pharmaceuticals Inc. Common Stock
INR,Infinity Natural Resources Inc. Class A Common Stock
INV,Innventure Inc. Common Stock
IOR,Income Opportunity Realty Investors Inc. Common Stock
IOT,Samsara Inc. Class A Common Stock
IPA,ImmunoPrecise Antibodies Ltd. Common Stock
IPG,Interpublic Group of Companies Inc. (The) Common Stock
IPI,Intrepid Potash Inc Common Stock
IPM,Intelligent Protection Management Corp. Common Stock 
IPW,iPower Inc. Common Stock
IPX,IperionX Limited American Depositary Share
IQI,Invesco Quality Municipal Income Trust Common Stock
IQV,IQVIA Holdings Inc. Common Stock
IRD,Opus Genetics Inc. Common Stock
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock)
IRT,Independence Realty Trust Inc. Common Stock
ISD,PGIM High Yield Bond Fund Inc.
ITP,IT Tech Packaging Inc. Common Stock
ITT,ITT Inc. Common Stock 
ITW,Illinois Tool Works Inc. Common Stock
IVA,Inventiva S.A. American Depository Shares
IVF,INVO Fertility Inc. Common Stock
IVP,Inspire Veterinary Partners Inc. Class A Common Stock
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock
IVT,InvenTrust Properties Corp. Common Stock
IVZ,Invesco Ltd Common Stock
IZM,ICZOOM Group Inc. Class A Ordinary Shares
JBI,Janus International Group Inc. Common Stock
JBL,Jabil Inc. Common Stock
JCE,Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest
JCI,Johnson Controls International plc Ordinary Share
JEF,Jefferies Financial Group Inc. Common Stock
JEQ,abrdn Japan Equity Fund Inc. Common Stock
JFB,JFB Construction Holdings Class A Common Stock
JFR,Nuveen Floating Rate Income Fund Common Stock
JFU,9F Inc. American Depositary Shares
JGH,Nuveen Global High Income Fund Common Shares of Beneficial Interest
JHG,Janus Henderson Group plc Ordinary Shares
JHI,John Hancock Investors Trust Common Stock
JHS,John Hancock Income Securities Trust Common Stock
JHX,James Hardie Industries plc American Depositary Shares (Ireland)
JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares)
JLL,Jones Lang LaSalle Incorporated Common Stock
JLS,Nuveen Mortgage and Income Fund
JMM,Nuveen Multi-Market Income Fund (MA)
JNJ,Johnson & Johnson Common Stock
JOB,GEE Group Inc. Common Stock
JOE,St. Joe Company (The) Common Stock
JOF,Japan Smaller Capitalization Fund Inc Common Stock
JPC,Nuveen Preferred & Income Opportunities Fund
JPI,Nuveen Preferred Securities & Income Opportunities Fund Common Shares
JPM,JP Morgan Chase & Co. Common Stock
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
JRI,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest
JRS,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest
JSM,Navient Corporation 6% Senior Notes due December 15 2043
JVA,Coffee Holding Co. Inc. Common Stock
JWN,Nordstrom Inc. Common Stock
JXG,JX Luxventure Group Inc. Common Stock
JXN,Jackson Financial Inc. Class A Common Stock 
JYD,Jayud Global Logistics Limited Class A Ordinary Shares
KAI,Kadant Inc Common Stock
KAR,OPENLANE Inc. Common Stock
KBH,KB Home Common Stock
KBR,KBR Inc. Common Stock
KDP,Keurig Dr Pepper Inc. Common Stock
KEN,Kenon Holdings Ltd. Ordinary Shares
KEP,Korea Electric Power Corporation Common Stock
KEX,Kirby Corporation Common Stock
KEY,KeyCorp Common Stock
KFS,Kingsway Financial Services Inc. Common Stock (DE)
KFY,Korn Ferry Common Stock
KGC,Kinross Gold Corporation Common Stock
KGS,Kodiak Gas Services Inc. Common Stock
KHC,The Kraft Heinz Company Common Stock
KIM,Kimco Realty Corporation (HC) Common Stock
KIO,KKR Income Opportunities Fund Common Shares
KKR,KKR & Co. Inc. Common Stock
KLC,KinderCare Learning Companies Inc. Common Stock
KLG,WK Kellogg Co Common Stock
KMB,Kimberly-Clark Corporation Common Stock
KMI,Kinder Morgan Inc. Common Stock
KMT,Kennametal Inc. Common Stock
KMX,CarMax Inc
KNF,Knife Riv Holding Co. Common Stock
KNW,Know Labs Inc. Common Stock
KNX,Knight-Swift Transportation Holdings Inc.
KOD,Kodiak Sciences Inc Common Stock
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)
KOP,Koppers Holdings Inc. Common Stock
KOS,Kosmos Energy Ltd. Common Shares (DE)
KRC,Kilroy Realty Corporation Common Stock
KRG,Kite Realty Group Trust Common Stock
KRO,Kronos Worldwide Inc Common Stock
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests
KRT,Karat Packaging Inc. Common Stock
KSS,Kohl's Corporation Common Stock
KTB,Kontoor Brands Inc. Common Stock 
KTF,DWS Municipal Income Trust
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS)
KWE,KWESST Micro Systems Inc. Common Stock
KWM,K Wave Media Ltd. Ordinary Shares
KWR,Quaker Houghton Common Stock
KYN,Kayne Anderson Energy Infrastructure Fund Inc.
KZR,Kezar Life Sciences Inc. Common Stock
LAB,Standard BioTools Inc. Common Stock
LAC,Lithium Americas Corp. Common Shares
LAD,Lithia Motors Inc. Common Stock
LAR,Lithium Argentina AG Common Shares
LAW,CS Disco Inc. Common Stock
LAZ,Lazard Inc. Common Stock
LDI,loanDepot Inc. Class A Common Stock
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc.
LEA,Lear Corporation Common Stock
LEE,Lee Enterprises Incorporated Common Stock
LEG,Leggett & Platt Incorporated Common Stock
LEN,Lennar Corporation Class A Common Stock
LEO,BNY Mellon Strategic Municipals Inc. Common Stock
LEU,Centrus Energy Corp. Class A Common Stock
LFT,Lument Finance Trust Inc. Common Stock
LGI,Lazard Global Total Return and Income Fund Common Stock
LGL,LGL Group Inc. (The) Common Stock
LGO,Largo Inc. Common Shares
LHX,L3Harris Technologies Inc. Common Stock
LIF,Life360 Inc. Common Stock
LII,Lennox International Inc. Common Stock
LIN,Linde plc Ordinary Shares
LKQ,LKQ Corporation Common Stock
LLY,Eli Lilly and Company Common Stock
LMB,Limbach Holdings Inc. Common Stock
LMT,Lockheed Martin Corporation Common Stock
LNC,Lincoln National Corporation Common Stock
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil)
LNG,Cheniere Energy Inc. Common Stock
LNN,Lindsay Corporation Common Stock
LNT,Alliant Energy Corporation Common Stock
LNW,Light & Wonder Inc. Common Stock
LOB,Live Oak Bancshares Inc. Common Stock
LOT,Lotus Technology Inc. American Depositary Shares
LOW,Lowe's Companies Inc. Common Stock
LPA,Logistic Properties of the Americas Ordinary Shares
LPG,Dorian LPG Ltd. Common Stock
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES
LPX,Louisiana-Pacific Corporation Common Stock
LRE,Lead Real Estate Co. Ltd American Depositary Shares
LRN,Stride Inc. Common Stock
LSB,LakeShore Biopharma Co. Ltd Ordinary Shares
LSE,Leishen Energy Holding Co. Ltd. Ordinary Shares
LSF,Laird Superfood Inc. Common Stock
LSH,Lakeside Holding Limited Common Stock
LTC,LTC Properties Inc. Common Stock
LTH,Life Time Group Holdings Inc. Common Stock
LTM,LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2000) shares of Common Stock)
LUD,Luda Technology Group Limited Ordinary Shares
LUV,Southwest Airlines Company Common Stock
LVO,LiveOne Inc. Common Stock
